% Device,10M100491
% File name,10M100491_20120222_070924
% Cast time (UTC),2012-02-22 07:09:24
% Cast time (local),2012-02-22 07:09:24
% Sample type,Cast
% Cast data,Processed
% Location source,Manual
% Default latitude,32
% Default altitude,0
% Start latitude,
% Start longitude,
% Start altitude,
% Start GPS horizontal error(Meter),
% Start GPS vertical error(Meter),
% Start GPS number of satellites,
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),145.8
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2011-02-01
% Temperature calibration date,2011-02-01
% Pressure calibration date,2011-01-27
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
10.35,10.287812491763233,9.7670369351951631,38051.284986881925,54723.221104243821,35.182666587497039,1489.3863067965913,1027.1816781371406
10.649999999999999,10.585991926327658,9.7673852592827988,38052.5400507222,54724.477792822043,35.183478347873482,1489.3934911039428,1027.1836117359519
10.95,10.884169564972172,9.7672774333710688,38064.308259361344,54741.57177292469,35.195574923781123,1489.4128083071605,1027.1944427649517
11.25,11.182346009910742,9.7671839176558173,38059.901719600552,54735.381803920842,35.190982357657006,1489.4118014560827,1027.1922272431875
11.549999999999999,11.480522007507913,9.7678759238679689,38066.216032733704,54743.373043680018,35.196673335014793,1489.4261819475767,1027.1979160491187
11.85,11.778696731641222,9.76739235091048,38068.420804789028,54747.305205637749,35.199278619725952,1489.4325566892455,1027.2013924170753
12.149999999999999,12.076870809895818,9.7683490203028374,38069.6761194032,54747.604059618374,35.199494823477018,1489.44120722667,1027.2027572651882
12.45,12.375044218231846,9.7675233692556276,38071.689584550004,54751.799804952745,35.20223787660985,1489.4465169238035,1027.2063992987157
12.75,12.673216129133021,9.7675721039984573,38078.9673149922,54762.189319818681,35.209552108765969,1489.4605601843659,1027.2134658000935
13.049999999999999,12.971386584715523,9.7659106121350838,38079.650439791927,54765.788914069424,35.211742603766886,1489.4621818406902,1027.2168177191013
13.35,13.269556255199948,9.7631068285519831,38077.886998409936,54767.669624878617,35.212529611886652,1489.4579710433945,1027.2192663981712
13.649999999999999,13.567724937341689,9.76683323654071,38086.560798292718,54774.273715362295,35.217681122293648,1489.4826338620783,1027.2240187558045
13.95,13.865893106778689,9.7695740138935481,38087.165576792118,54770.825724774339,35.215478429441291,1489.4947630552197,1027.2231902001224
14.249999999999998,14.164060866374278,9.7702832948770819,38091.458936126946,54775.882343384867,35.219068614562161,1489.5066409037388,1027.2272338340306
14.549999999999999,14.462227732263342,9.7713425773211888,38094.249716536724,54778.2266845555,35.22076673617655,1489.5174703679179,1027.229739245814
14.85,14.760394042452127,9.7658079808554952,38088.404593505264,54778.540764074038,35.220021571899835,1489.5015452527075,1027.2314539450681
15.149999999999999,15.058559827452633,9.7657626801352819,38089.652018785186,54780.406184716223,35.221210865917946,1489.5077715969512,1027.2337491364979
15.45,15.356725339661377,9.7673470404488967,38089.912734078825,54778.284764961223,35.219786128511991,1489.5166817457939,1027.2337247389421
15.749999999999998,15.654889804702108,9.7660952816324347,38096.381045098657,54789.559679464022,35.2275405269193,1489.5265743189043,1027.2413557295358
16.05,15.953053578751641,9.76931922536425,38095.499960568028,54783.212339655656,35.2233317888652,1489.5379960859987,1027.2388771086135
16.35,16.251216692646572,9.771202115701314,38105.344833987794,54794.402429907517,35.231495292699613,1489.5596885594221,1027.2462956928637
16.650000000000002,16.549379199792163,9.7708425310692917,38099.846176523672,54787.062094454239,35.2260375268246,1489.5566664142848,1027.2434490570738
16.95,16.847541462888007,9.7737209830446545,38107.7460233477,54793.885937499595,35.231219848656586,1489.5783073829578,1027.2483684947258
17.25,17.145703026232084,9.77323962822491,38106.002867116287,54792.137969489362,35.22975327392583,1489.5797194409593,1027.2486618819037
17.55,17.443864175805885,9.7693404991338273,38103.58667550821,54794.807909079333,35.230941960460321,1489.5720528235509,1027.2516107777954
17.85,17.742024121460556,9.7735505739936954,38114.049253871912,54803.217711073332,35.237461111357263,1489.6001264184647,1027.2573488010464
18.150000000000002,18.040183232866006,9.7736249357556613,38113.085913414856,54801.7153572986,35.236253852165021,1489.6038582494844,1027.2577504578328
18.45,18.33834313051895,9.7742745734477019,38105.5545613519,54789.862662509469,35.227712106514545,1489.6007088965757,1027.2523222094171
18.75,18.636504069504568,9.7681233126563356,38095.180721052413,54784.6376096822,35.222903241839987,1489.5776005633345,1027.2509661715053
19.05,18.934663713765918,9.7679640999158046,38106.687940596334,54801.437080246833,35.234782022752547,1489.5964681674359,1027.2616348980309
19.35,19.232822348679651,9.7678236632925444,38100.853493998737,54793.267854474841,35.228762974120578,1489.5935504090396,1027.2583123858658
19.650000000000002,19.530980591258643,9.7706695089995037,38110.574338383856,54802.76174797253,35.235854838090233,1489.6174065639239,1027.264729546403
