*
*Lat 31/24/37
*Lon 080/50/55
*Cast 1 22 Apr 2014 13:33:08 2264 4.13 received stop
*ConfigurationData:
*DeviceType=90745 UCTD
*Version=CTD
*SerialNumber=70200187
*Settings:
*ReplyFormat=plain text
*BlueToothBaudRate=9600
*CalibrationCoefficients:
*Temperature:
*CalDate=16-Jan-14
*Coefficients:
*A0=8.767728e-04
*A1=2.785097e-04
*A2=-2.099580e-06
*A3=1.930474e-07
*Conductivity:
*CalDate=16-Jan-14
*Coefficients:
*G=-9.887334e-01
*H=1.402299e-01
*I=-2.264862e-04
*J=3.930030e-05
*PCOR=-9.570000e-08
*TCOR=3.250000e-06
*SLOPE=1.000000e+00
*Pressure:
*CalDate=13-Jan-14
*SerialNumber=2143155
*Coefficients:
*A0=-2.172705e-01
*A1=8.779983e-03
*A2=6.893222e-11
*PTEMP A0=-9.035770e+01
*PTEMP A1=3.757729e-02
*PTEMP A2=8.382934e-07
*TC A0=5.257248e+05
*TC A1=-1.266389e+01
*TC A2=5.543477e-01
*TC B0=1.050162e+02
*TC B1=-2.284512e-03
*TC B2=0.000000e+00
*RANGE=2.900000e+03
*OFFSET=0.000000e+00
*sampling rate: 16 Hz
*scan# C[S/m]  T[degC]  P[dbar]
487  4.44708 17.624    1.156
488  4.44729 17.610    1.250
489  4.44750 17.596    1.406
490  4.44833 17.590    1.500
491  4.44917 17.588    1.625
492  4.45125 17.589    1.750
493  4.45396 17.593    1.875
494  4.45646 17.598    2.000
495  4.45792 17.603    2.125
496  4.45812 17.606    2.250
497  4.45979 17.606    2.469
498  4.46500 17.608    2.656
499  4.48375 17.623    2.750
500  4.50104 17.671    2.875
501  4.50458 17.722    2.969
502  4.50771 17.745    3.062
503  4.50958 17.756    3.156
504  4.51146 17.762    3.344
505  4.51375 17.765    3.531
506  4.51521 17.768    3.687
507  4.51708 17.771    3.875
508  4.51875 17.776    4.031
509  4.52187 17.782    4.219
510  4.52458 17.787    4.344
511  4.52667 17.792    4.563
512  4.53104 17.797    4.781
513  4.53562 17.805    5.031
514  4.54104 17.814    5.250
515  4.54708 17.822    5.438
516  4.55417 17.831    5.656
517  4.55792 17.845    5.813
518  4.55917 17.853    6.000
519  4.55979 17.854    6.188
520  4.56146 17.854    6.375
521  4.56375 17.852    6.594
522  4.56604 17.847    6.813
523  4.56771 17.841    7.031
524  4.56979 17.837    7.250
525  4.57167 17.836    7.438
526  4.57375 17.838    7.656
527  4.57521 17.843    7.906
528  4.57583 17.849    8.125
529  4.57646 17.853    8.312
530  4.57729 17.856    8.531
531  4.57833 17.859    8.781
532  4.57958 17.861    9.000
533  4.58042 17.863    9.250
534  4.58125 17.864    9.531
535  4.58208 17.865    9.781
536  4.58271 17.866    9.969
537  4.58354 17.867   10.187
538  4.58417 17.869   10.437
539  4.58479 17.870   10.625
540  4.58542 17.872   10.812
541  4.58583 17.874   11.000
542  4.58604 17.875   11.187
543  4.58625 17.876   11.375
544  4.58667 17.877   11.562
545  4.58708 17.878   11.750
546  4.58750 17.879   11.969
547  4.58813 17.880   12.187
548  4.58813 17.882   12.406
549  4.58813 17.884   12.625
550  4.58854 17.884   12.844
551  4.59000 17.886   13.062
552  4.59000 17.891   13.281
553  4.59000 17.893   13.500
554  4.59021 17.894   13.719
555  4.59083 17.894   13.906
556  4.59208 17.895   14.031
557  4.59312 17.896   14.125
558  4.59292 17.906   14.156
559  4.59354 17.916   14.125
560  4.59437 17.920   14.062
561  4.59542 17.920   13.906
562  4.59687 17.919   13.750
563  4.59583 17.918   13.594
564  4.59479 17.916   13.437
565  4.59354 17.914   13.281
566  4.59354 17.911   13.187
567  4.59312 17.907   13.031
568  4.59250 17.904   12.875
569  4.59187 17.901   12.750
570  4.59187 17.900   12.562
571  4.59187 17.899   12.437
572  4.59187 17.899   12.281
573  4.59167 17.898   12.187
574  4.59146 17.897   12.031
575  4.59167 17.897   11.906
576  4.59229 17.897   11.750
577  4.59292 17.898   11.594
578  4.59458 17.898   11.469
579  4.59604 17.897   11.281
580  4.59708 17.895   11.125
581  4.59792 17.894   11.000
582  4.59854 17.892   10.844
583  4.59708 17.891   10.687
584  4.59437 17.889   10.594
585  4.59312 17.886   10.469
586  4.59083 17.885   10.344
587  4.58937 17.884   10.187
588  4.58896 17.883   10.031
589  4.58833 17.882    9.875
590  4.58729 17.881    9.687
591  4.58667 17.880    9.500
592  4.58625 17.879    9.344
593  4.58625 17.878    9.187
594  4.58708 17.878    9.031
595  4.58771 17.879    8.906
596  4.58750 17.880    8.781
597  4.58646 17.879    8.625
598  4.58542 17.876    8.469
599  4.58542 17.874    8.344
600  4.58542 17.871    8.187
601  4.58521 17.868    8.062
602  4.58354 17.865    7.875
603  4.58083 17.862    7.750
604  4.57875 17.860    7.594
605  4.57771 17.858    7.469
606  4.57771 17.856    7.344
607  4.57917 17.854    7.219
608  4.58104 17.851    7.094
609  4.58208 17.848    6.938
610  4.58167 17.849    6.844
611  4.57896 17.848    6.750
612  4.57917 17.848    6.656
613  4.58000 17.847    6.531
614  4.57708 17.848    6.344
615  4.57854 17.852    6.125
616  4.57812 17.856    5.938
617  4.57146 17.856    5.875
618  4.56729 17.856    5.719
619  4.56542 17.857    5.625
620  4.56729 17.860    5.500
621  4.56729 17.862    5.344
622  4.56333 17.863    5.188
623  4.56104 17.866    5.031
624  4.56167 17.868    4.906
625  4.56354 17.860    4.781
626  4.56354 17.849    4.688
627  4.56333 17.841    4.563
628  4.55917 17.837    4.469
629  4.55396 17.835    4.313
630  4.55667 17.841    4.281
631  4.55792 17.842    4.313
632  4.55083 17.832    4.219
633  4.53979 17.824    4.031
634  4.52625 17.814    3.812
635  4.51083 17.781    3.594
636  4.50000 17.739    3.500
637  4.49917 17.718    3.437
638  4.50917 17.721    3.406
639  4.51333 17.740    3.344
640  4.50437 17.764    3.375
641  4.50208 17.768    3.344
642  4.50562 17.748    3.187
643  4.50521 17.741    2.969
644  4.49958 17.740    2.719
645  4.49000 17.728    2.531
646  4.47687 17.701    2.344
647  4.46917 17.674    2.187
648  4.46979 17.661    2.094
649  4.47208 17.664    2.000
650  4.47271 17.667    1.937
651  4.47333 17.668    1.875
652  4.47354 17.669    1.750
653  4.47354 17.672    1.625
654  4.47500 17.673    1.469
655  4.47625 17.678    1.531
656  4.47625 17.677    1.469
657  4.47646 17.674    1.344
658  4.47542 17.679    1.187
659  4.47333 17.677    1.062
660  4.46896 17.670    0.969
661  4.46771 17.661    0.875
662  4.46854 17.657    0.813
663  4.46875 17.658    0.844
664  4.46771 17.655    0.813
665  4.46792 17.652    0.750
666  4.47000 17.663    0.688
667  4.47146 17.669    0.594
668  4.47083 17.667    0.625
669  4.47187 17.661    0.656
670  4.47125 17.655    0.594
671  4.47042 17.645    0.656
672  4.46417 17.631    0.750
673  4.46021 17.618    0.625
674  4.45812 17.611    0.469
675  4.45604 17.611    0.375
676  4.45375 17.611    0.281
677  4.45229 17.610    0.188
678  4.44958 17.609    0.188
679  4.44708 17.609    0.156
680  4.44771 17.608    0.094
681  4.44833 17.608    0.063
682  4.44146 17.611    0.000
683  4.23021 17.615    0.125
684  3.17417 17.627    0.594
685  2.96417 17.637    0.719
686  2.94833 17.628    0.594
687  2.89229 17.615    0.563
688  3.26312 17.611    0.563
689  3.27979 17.613    0.469
690  3.14833 17.617    0.406
691  3.81583 17.619    0.438
692  4.25625 17.623    0.406
693  4.29000 17.623    0.500
694  4.37208 17.619    0.594
695  4.34750 17.618    0.688
696  3.98688 17.626    0.781
697  3.44896 17.636    0.625
698  2.96167 17.643    0.500
699  3.29562 17.642    0.406
700  4.11292 17.626    0.313
701  4.01146 17.612    0.313
702  3.98167 17.608    0.281
703  3.95042 17.607    0.250
704  3.90333 17.609    0.219
705  3.69083 17.612    0.219
706  3.65896 17.613    0.188
707  3.51167 17.611    0.188
708  3.77833 17.607    0.281
709  3.99917 17.601    0.375
710  3.73417 17.600    0.375
711  3.65146 17.603    0.375
712  4.18500 17.605    0.344
713  4.34812 17.606    0.406
714  4.33125 17.605    0.469
715  4.17437 17.603    0.469
716  4.07021 17.601    0.469
717  4.01979 17.600    0.500
718  4.03042 17.602    0.469
719  4.02375 17.605    0.531
720  4.04187 17.604    0.531
721  4.00542 17.602    0.469
722  4.03458 17.603    0.469
723  4.09583 17.604    0.500
724  4.30937 17.602    0.500
725  4.39750 17.599    0.438
726  4.37396 17.598    0.281
727  4.33625 17.602    0.156
728  4.34708 17.606    0.156
729  4.37021 17.604    0.250
730  4.36833 17.602    0.219
731  4.35771 17.605    0.219
732  4.34521 17.608    0.250
733  4.10708 17.608    0.375
734  4.03000 17.607    0.500
735  4.10625 17.608    0.469
736  4.33104 17.610    0.531
737  4.32021 17.613    0.438
738  4.30854 17.617    0.250
739  4.29312 17.617    0.094
740  4.25187 17.615    0.031
741  3.96708 17.616    0.156
742  3.46979 17.621    0.156
743  3.63000 17.621    0.188
744  4.19250 17.620    0.188
745  4.27479 17.614    0.281
746  4.21125 17.608    0.219
747  4.23083 17.604    0.125
748  4.25771 17.603    0.094
749  4.22312 17.601    0.094
750  4.14187 17.599    0.094
751  4.17187 17.599    0.094
752  4.19667 17.599    0.219
753  4.27312 17.600    0.406
754  4.41229 17.599    0.563
755  4.42917 17.597    0.750
756  4.43167 17.596    0.813
757  4.43458 17.593    0.688
758  4.43167 17.592    0.406
759  4.43229 17.593    0.281
760  4.43625 17.594    0.250
761  4.43646 17.595    0.188
762  4.43667 17.597    0.094
763  4.43646 17.600    0.063
764  4.39792 17.609    0.063
765  4.27604 17.620    0.188
